name,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths01,NewDeaths02,TotalRecovered,NewRecovered,ActiveCases,Critical,TotCases,Deaths,TotalTests,Tests,WHORegion
Norway,Europe,5425471,9468,28,256,1,6,8857,0,355,3,1745,47,472841,87152,Europe
DRC,Africa,89802183,9309,27,215,1,3,8048,0,1046,,104,2,,,Africa
Malaysia,Asia,32406372,9038,27,125,1,3,8713,0,200,2,279,4,991333,30591,WesternPacific
FrenchGuiana,South America,299385,8127,24,47,0,4,7240,0,840,23,27146,157,41412,138324,
Gabon,Africa,2230563,7787,23,51,0,1,5609,0,2127,11,3491,23,85369,38272,Africa
Tajikistan,Asia,9557468,7665,22,62,0,0,6443,0,1160,,802,6,,,Europe
Guinea,Africa,13164905,7664,22,49,0,1,6757,0,858,24,582,4,14407,1094,Africa
Haiti,North America,11416103,7544,22,171,2,3,4832,0,2541,,661,15,18443,1616,Americas
Finland,Europe,5541604,7532,22,331,0,2,6980,0,221,,1359,60,389500,70287,Europe
Zambia,Africa,18430129,7164,21,199,2,4,5786,0,1179,,389,11,90307,4900,Africa
Luxembourg,Europe,626952,7073,21,119,0,4,5750,0,1204,9,11282,190,623994,995282,Europe
Mauritania,Africa,4660728,6444,19,157,1,6,5291,0,996,3,1383,34,57387,12313,Africa
Paraguay,South America,7141091,6375,19,66,0,0,4974,0,1335,23,893,9,135277,18943,Americas
Albania,Europe,2877470,6016,18,188,1,1,3155,0,2673,23,2091,65,38997,13553,Europe
Lebanon,Asia,6822220,5672,17,70,0,4,1974,0,3628,46,831,10,345268,50609,EasternMediterranean
Croatia,Europe,4102577,5404,16,155,2,1,4688,0,561,7,1317,38,125317,30546,Europe
Djibouti,Africa,989387,5330,15,59,0,3,5057,0,214,,5387,60,59909,60552,EasternMediterranean
Greece,Europe,10417673,5123,15,210,3,7,1374,0,3539,14,492,20,619393,59456,Europe
Libya,Africa,6880353,4879,14,107,0,5,652,0,4120,,709,16,59699,8677,EasternMediterranean
EquatorialGuinea,Africa,1407001,4821,14,83,0,0,2182,0,2556,,3426,59,44356,31525,Africa
Maldives,Asia,541448,4680,14,19,0,3,2725,0,1936,12,8643,35,85587,158071,South-EastAsia
CAR,Africa,4837752,4620,13,59,0,1,1641,0,2920,2,955,12,29589,6116,
Hungary,Europe,9657785,4597,13,600,3,7,3463,0,534,8,476,62,352546,36504,Europe
Malawi,Africa,19174839,4491,13,137,3,5,2137,0,2217,4,234,7,33466,1745,Africa
Zimbabwe,Africa,14883803,4339,13,84,0,3,1264,0,2991,,292,6,140421,9434,Africa
Nicaragua,North America,6632263,3902,11,123,4,7,2913,0,866,,588,19,,,Americas
HongKong,Asia,7503041,3850,11,46,0,0,2458,0,1346,39,513,6,692430,92287,WesternPacific
RepOfTheCongo,Africa,5530506,3546,10,58,0,1,1589,0,1899,,641,10,,,Africa
